#Table1
objid,u,g,r,i,z
1237668355109683284,18.63237,17.31387,16.81575,16.61633,16.5341
1237668355109683285,18.41178,17.29174,16.8437,16.63564,16.54687
1237668355109683293,19.01611,17.96351,17.59943,17.4279,17.41108
1237668355109683294,19.17036,17.85089,17.47571,17.31633,17.37443
1237668355109683296,19.10709,18.00571,17.85341,17.761,17.98974
1237668355109683298,19.1685,18.20169,17.90128,17.77133,17.76863
1237668355109683299,19.24013,18.24066,17.97899,17.8434,17.88745
1237668355109683302,19.50926,18.44402,18.16936,17.97389,18.19704
1237668355109683315,20.15343,18.9218,18.72037,19.27713,22.82684
1237668355109683318,19.75837,22.07326,21.43948,21.8432,20.80979
1237668355109683321,27.03843,28.0106,27.43839,17.09027,24.3832
1237668355109683325,23.69303,24.35049,22.53712,22.01056,22.45012
1237668355109683327,19.95943,19.24643,19.02821,18.93929,19.04205
1237668355109683720,23.93511,20.90761,19.6143,18.99997,18.66589
1237668355109683721,20.76696,19.80149,19.5358,19.43463,19.5216
1237668355109683722,22.52405,20.88806,20.42007,20.12614,20.43374
1237668355109683725,23.81372,23.73376,23.07658,23.37217,22.90598
1237668355109683727,20.70837,19.8316,19.54815,19.41294,19.39066
1237668355109684212,21.70835,21.00553,20.56664,20.4079,20.75528
1237668355109684216,25.27657,23.52129,23.30788,21.92062,22.56938
1237668355109684922,23.57836,23.30965,22.45389,22.47761,22.26733
1237668678843891841,18.00192,16.92619,16.47626,16.29761,16.22935
1237668678843891844,19.11917,18.06199,17.65208,17.47388,17.38967
1237668678843891905,17.77803,16.61661,16.13719,15.90938,15.81464
1237668678843891908,15.68922,14.45122,14.54582,13.94519,13.93382
1237668678843891909,20.64967,19.71828,19.47223,19.31851,19.33263
1237668678843891910,24.63461,23.20829,21.67319,20.50377,19.73769
1237668678843891912,24.55246,23.62615,24.32723,24.15664,22.54034
1237668678843891918,19.37793,18.42767,18.24176,18.22509,18.16546
1237668678843891919,20.0216,19.22372,18.90109,18.80165,18.86018
1237668678843891920,20.60139,19.70189,19.42915,19.32278,19.3251
1237668678843891921,25.14762,22.37726,21.51694,21.15798,20.79943
1237668678843891927,25.55655,22.40949,20.79709,19.39899,18.63387
1237668678843891928,24.65219,22.6216,21.0054,20.47999,20.10818
1237668678843891938,18.546,16.74219,15.99782,15.68833,15.50392
1237668678843891939,22.17538,21.88853,21.92825,21.66572,21.25008
1237668678843891940,23.66956,22.6221,21.94915,21.52,21.4018
1237668678843891953,15.72824,14.36984,13.61981,13.53382,13.67658
1237668678843891954,21.01144,19.4261,18.80166,18.57582,18.46501
1237668678843891958,24.85753,23.50139,22.31125,22.22522,23.7538
1237668678843891959,24.52415,23.87041,23.03078,22.16765,22.61048
1237668678843891960,24.4313,24.39415,22.65901,22.38007,22.56592
1237668678843891961,23.85589,25.23266,24.47733,22.56956,23.15894
1237668678843891976,19.20139,17.74576,17.1688,16.80489,16.63232
1237668678843891977,22.992,21.37736,20.91516,20.67232,20.76484
1237668678843891978,22.8674,21.35152,20.94938,20.68556,20.81252
1237668678843891979,24.49778,24.05075,22.91618,22.17845,22.12025
1237668678843891980,24.73201,23.88953,22.80011,22.88231,21.91291
1237668678843891983,18.34681,16.3936,15.67525,15.42862,15.31324
1237668678843891989,19.22978,18.34617,18.10273,18.08027,17.95903
1237668678843891990,19.94493,19.05876,18.83318,18.7342,18.67106
1237668678843891991,21.52252,20.83468,20.4326,20.25347,20.32139
1237668678843891992,25.02104,22.9857,22.19844,22.04998,21.857
1237668678843891993,24.69963,24.01805,22.91018,22.32035,21.85905
1237668678843891998,15.61629,14.43994,14.06709,13.93594,13.9237
1237668678843891999,19.2243,17.76841,17.19563,16.96598,16.87623
1237668678843892000,21.04387,20.10909,19.79201,19.69062,19.74873
1237668678843892002,24.02122,21.56029,20.20802,19.55335,19.33719
1237668678843892003,23.9296,22.23522,21.89961,21.5887,21.15243
1237668678843892004,23.85913,22.11297,21.3819,21.1235,21.22499
1237668678843892007,23.8092,22.65808,21.9318,21.47373,21.77426
1237668678843892008,23.86197,22.6204,22.0876,21.68986,21.64671
1237668678843892009,23.94895,23.12838,22.39616,21.8885,22.15019
1237668678843892010,24.89256,23.13874,22.64128,22.23235,22.72138
1237668678843892017,18.11862,16.95639,16.55021,16.39692,16.33339
1237668678843892018,19.51119,18.54456,18.32552,18.21637,18.26449
1237668678843892019,22.44673,21.65245,21.12282,20.85905,22.37612
1237668678843892020,24.28817,24.02838,22.81137,22.75587,22.8246
1237668678843892030,24.69644,23.15737,22.39963,22.0506,22.8144
1237668678843892035,23.8384,23.10365,22.11751,21.68747,21.36131
1237668678843892036,18.32565,17.26832,16.80759,16.58951,16.47759
1237668678843892041,18.21987,16.6137,16.06596,15.88354,15.8147
1237668678843892042,20.26239,19.34649,19.0815,18.96565,19.02969
1237668678843892043,25.59182,23.42116,24.59819,23.75117,22.75218
1237668678843892046,23.97481,23.20329,22.62043,21.85122,21.31866
1237668678843892047,19.003,17.99078,17.60838,17.43503,17.35216
1237668678843892053,20.71797,19.84771,19.54562,19.35564,22.82811
1237668678843892054,20.92433,20.09014,19.79146,19.56193,19.7524
1237668678843892055,22.20255,21.11882,20.63893,20.33873,20.83953
1237668678843892056,22.04928,21.07549,20.61277,20.41638,20.58904
1237668678843892059,24.11782,23.73873,22.35964,21.68088,22.13727
1237668678843892061,16.00134,14.33627,13.36056,13.04228,13.19826
1237668678843892243,20.64013,19.69698,19.42863,19.31695,19.25843
1237668678843892246,20.11554,19.16417,18.88993,18.82311,18.7975
1237668678843892247,21.45611,20.52954,20.16589,19.93535,20.113
1237668678843892265,22.21398,19.55966,18.14544,17.38436,16.95523
1237668678843892267,24.17876,22.77758,22.19227,21.76283,21.58953
1237668678843892273,20.84486,18.58591,17.60164,17.26662,17.07795
1237668678843892274,21.98271,20.95595,20.47183,20.27732,20.17832
1237668678843892275,24.44069,23.44543,22.77073,23.09416,22.03794
