#ID  X     Y     y      b-y       m1      err y   b-y       m1
99 647.02 7.95 20.2715 0.691235 72.6892 0.085 0.119503 99.9902
161 717.36 11.65 19.2614 0.452043 0.0520198 0.042 0.0566392 0.12506
190 721.50 13.90 20.3574 0.719072 72.5467 0.064 0.0948472 99.9901
178 654.87 12.93 19.1927 0.433485 0.242167 0.040 0.058 0.128062
194 827.64 14.28 19.932 0.558236 0.215847 0.044 0.0720069 0.202121
225 998.83 15.86 19.6346 0.457198 0.27379 0.057 0.0764853 0.176287
286 643.91 19.82 18.6906 0.429361 0.119025 0.029 0.0454533 0.105214
362 645.59 24.90 18.1726 0.487097 -0.174342 0.065 0.0877838 0.143698
293 1017.54 20.10 18.9094 0.454105 0.0836596 0.040 0.0640312 0.139718
301 568.65 21.51 17.5178 0.374718 -0.0116569 0.018 0.0269072 0.0520384
316 661.34 21.58 17.5296 0.398431 -0.0563602 0.018 0.0222036 0.0429069
334 607.54 23.06 13.9793 0.509779 -0.0697433 0.006 0.00848528 0.0146969
341 121.01 24.67 14.2342 0.59329 0.116193 0.012 0.0184391 0.0348855
379 555.99 25.61 17.3759 0.43864 -0.16162 0.018 0.0247588 0.0438292
417 1011.33 27.81 19.3235 0.36647 0.315218 0.039 0.0537587 0.12287
414 911.77 28.02 17.4705 0.368532 -0.106966 0.011 0.0186011 0.0445197
416 1005.34 28.31 18.5967 0.403586 0.029822 0.025 0.0333017 0.0740068
503 920.33 34.02 18.7813 0.451012 -0.169326 0.027 0.0367967 0.084841
472 655.84 31.71 17.441 0.410803 -0.1797 0.013 0.019105 0.0379078
486 947.28 33.17 17.9458 0.37678 0.00913809 0.022 0.0304138 0.0545619
520 883.83 35.14 17.2156 0.400493 -0.0824881 0.014 0.0172047 0.0303315
519 863.71 35.38 16.9466 0.605662 0.268119 0.014 0.019799 0.040694
524 123.39 35.82 13.823 0.559267 0.0181594 0.011 0.01253 0.01772
653 723.12 42.97 18.9057 0.52112 74.399 0.034 0.0416173 99.99
544 548.09 36.81 17.0494 0.512872 -0.0552077 0.012 0.0176918 0.0373631
593 386.28 40.15 14.1303 0.538647 -0.0448226 0.009 0.0127279 0.0213073
743 678.81 49.40 17.5914 0.393276 -0.108847 0.020 0.025 0.0438748
754 768.11 50.31 17.1314 0.393276 -0.0699362 0.016 0.0219317 0.0399625
759 904.68 53.99 17.6218 0.375749 -0.0805766 0.015 0.0234307 0.0452769
780 787.98 50.73 14.0779 0.526275 -0.0191581 0.008 0.00943398 0.0141421
764 40.01 51.46 14.0445 0.515965 -0.00974345 0.010 0.0122066 0.0182209
844 913.71 55.34 18.1137 0.460291 -0.0349289 0.018 0.0254558 0.0560446
884 861.04 57.10 15.6455 0.542771 -0.0154649 0.008 0.01 0.0181384
895 634.77 58.30 14.0629 0.496376 -0.0768596 0.005 0.00707107 0.0126886
954 259.19 62.23 14.82 0.559267 0.0919892 0.008 0.0113137 0.0195959
992 191.17 65.06 13.9377 0.519058 -0.0470883 0.010 0.0128062 0.0195192
1043 1025.02 67.13 15.9509 0.525244 0.00892077 0.021 0.0283196 0.0462709
1081 1015.72 69.08 17.4312 0.389152 -0.136469 0.015 0.0219317 0.0421663
1144 1011.98 73.48 19.6026 0.695359 -0.0356769 0.048 0.0618466 0.202852
1108 974.17 70.96 13.905 0.530399 -0.0107521 0.007 0.00921954 0.0147648
1170 1017.77 75.35 18.7868 0.465446 -0.0246707 0.035 0.0460977 0.0886002
1183 922.25 75.59 17.5998 0.375749 -0.107514 0.012 0.0162788 0.0333467
1420 135.33 90.61 17.2888 0.464415 -0.241028 0.015 0.0242074 0.044643
1192 455.02 77.40 17.0742 0.416989 -0.100744 0.050 0.0765768 0.132499
1304 592.58 84.04 17.8429 0.43864 -0.213501 0.027 0.0304138 0.0536843
1500 1020.09 95.48 20.2813 0.477818 73.115 0.072 0.091214 99.9901
1686 865.73 106.76 17.1604 0.423175 -0.0537145 0.015 0.0205183 0.0365103
1637 1017.04 103.66 17.3013 0.390183 -0.086662 0.032 0.0466905 0.0805543
1652 979.61 105.43 15.6494 0.54174 -0.00733997 0.014 0.0205183 0.0363456
1705 897.78 108.03 17.7595 0.368532 -0.0860143 0.041 0.0608769 0.104259
1871 348.07 108.91 14.0992 0.504624 -0.0440842 0.006 0.00848528 0.0151327
1772 568.90 111.61 14.0592 0.506686 -0.0323985 0.011 0.0155563 0.0261916
1778 891.07 111.89 16.9307 0.371625 0.0294839 0.057 0.0799062 0.130725
1881 1016.53 118.22 19.2314 0.511841 0.46374 0.046 0.060959 0.161059
1858 949.96 117.31 17.8847 0.403586 -0.0130791 0.020 0.029 0.0559017
2076 18.29 129.89 16.4058 0.553081 -0.0637899 0.014 0.0212603 0.0388458
2074 925.57 128.94 17.1614 0.422144 -0.0655436 0.021 0.0311448 0.0551453
2139 782.07 132.62 13.8571 0.651026 0.160048 0.006 0.00781025 0.0131149
2160 908.80 133.79 17.798 0.381935 -0.0720674 0.026 0.0367696 0.0636867
2255 982.47 138.59 14.1199 0.526275 -0.056073 0.007 0.00989949 0.0167631
2320 414.42 143.39 15.7093 0.538647 0.0170348 0.010 0.0128062 0.0218403
2336 207.07 143.96 14.4798 0.58298 0.131594 0.007 0.0106301 0.0192094
2354 734.59 144.55 17.4199 0.408741 -0.104586 0.020 0.0233238 0.0370945
2387 685.23 146.77 14.9422 0.565453 0.0801546 0.008 0.0113137 0.0215407
2392 972.59 146.84 14.5603 0.597414 0.108636 0.008 0.0113137 0.0195959
2337 379.84 147.59 14.0891 0.501531 -0.034675 0.007 0.00921954 0.0155563
2487 273.31 152.62 14.1044 0.54174 -0.0562273 0.014 0.019799 0.0335261
2495 851.44 153.46 13.6947 0.667522 0.138799 0.010 0.0148661 0.0261534
2675 581.83 162.73 13.8737 0.49019 -0.084979 0.010 0.0141421 0.0241039
2878 267.29 174.56 14.8713 0.597414 -0.0400212 0.024 0.0346554 0.0572014
2952 761.62 178.36 17.9963 0.390183 -0.0926482 0.018 0.0284253 0.0641015
2980 417.96 179.87 15.9714 0.363377 0.115913 0.076 0.115521 0.196604
3277 961.84 196.60 17.2631 0.385028 -0.117199 0.072 0.102533 0.167872
3305 956.93 197.98 17.3895 0.396369 -0.0731644 0.030 0.0396989 0.066242
3332 1017.75 199.36 17.4967 0.433485 -0.168885 0.016 0.0240832 0.0472017
3418 330.47 204.75 13.9983 0.508748 -0.0616184 0.009 0.0114018 0.0180555
3451 1018.23 205.88 19.9672 0.446888 0.383973 0.047 0.0686222 0.20108
3799 560.24 224.83 17.0678 0.523182 -0.2043 0.030 0.0417253 0.0689057
3758 474.93 222.93 14.9835 0.574732 -0.00394426 0.012 0.0184391 0.0348855
3803 1006.62 225.27 19.3031 0.590197 0.158527 0.042 0.0528015 0.137317
3966 1013.96 233.70 19.4503 0.508748 0.0281746 0.037 0.0544885 0.148893
4046 1013.39 238.06 20.7945 0.662367 72.2263 0.136 0.180056 99.9904
3988 984.26 234.83 17.5105 0.3974 -0.176006 0.017 0.0240416 0.0424971
4045 990.35 238.29 15.4934 0.54174 -0.0153216 0.007 0.00921954 0.0171172
4230 1011.93 248.13 16.4956 0.516996 -0.00789136 0.012 0.015 0.0263249
4330 1020.47 253.34 18.3011 0.442764 -0.15521 0.023 0.0311448 0.061131
4148 710.86 252.46 14.0575 0.542771 -0.0194557 0.011 0.0130384 0.0199499
4346 969.78 254.40 17.6769 0.408741 -0.103589 0.016 0.0212603 0.0447325
4462 1013.47 260.45 19.2839 0.468539 0.0357591 0.036 0.045 0.11015
4608 652.59 263.01 14.0699 0.527306 -0.0153106 0.011 0.0178045 0.0327719
4528 1003.41 263.21 18.8474 0.454105 0.0237976 0.026 0.0367696 0.0800312
4759 1014.60 274.29 18.6242 0.388121 0.00129228 0.021 0.029 0.0616847
4906 750.48 281.97 17.179 0.441733 -0.0991952 0.020 0.029 0.052345
4937 337.73 283.86 13.9923 0.537616 -0.0406885 0.013 0.019105 0.0327719
5256 13.88 295.14 17.3546 0.282959 -0.0276303 0.023 0.0378021 0.0696994
5091 86.07 293.04 14.0295 0.631437 0.143815 0.014 0.019799 0.0338969
5487 112.67 312.01 13.9669 0.496376 -0.0479263 0.013 0.0214009 0.0380263
5415 879.59 313.65 14.0756 0.516996 -0.0468017 0.008 0.01 0.0164924
5511 884.99 321.11 14.0668 0.523182 -0.0396799 0.006 0.00921954 0.0172047
5787 427.61 334.16 14.024 0.558236 -0.0275915 0.018 0.0254558 0.0433128
6324 1004.90 352.97 16.4669 0.527306 -0.0512278 0.017 0.0240416 0.0530471
6346 174.48 355.47 14.2104 0.599476 0.185172 0.014 0.019799 0.0338969
6477 793.40 361.47 14.0889 0.497407 -0.00317309 0.008 0.0128062 0.0233452
6498 575.99 361.52 14.0819 0.525244 -0.00504703 0.014 0.0205183 0.0343074
6504 981.21 362.26 16.6756 0.488128 -0.0188442 0.022 0.0290689 0.0526213
6530 268.34 363.61 13.6244 0.688142 0.168857 0.008 0.0120416 0.0209045
6570 1020.24 364.86 17.7716 0.370594 -0.036286 0.023 0.0332415 0.0592368
6566 907.17 365.16 17.1451 0.414927 -0.0934738 0.031 0.0438406 0.0736885
6826 259.17 369.60 13.6417 0.579887 -0.0715067 0.062 0.0802808 0.123077
6702 631.77 371.55 13.9427 0.492252 -0.0703001 0.010 0.0148661 0.0261534
6735 28.03 374.09 16.0776 0.576794 0.00474842 0.015 0.0205183 0.0360278
6744 692.84 374.11 14.0953 0.539678 -0.00805105 0.009 0.0120416 0.020025
6944 996.89 384.23 19.0551 0.532461 0.0318624 0.029 0.0431856 0.109513
6864 1020.30 380.08 19.0403 0.451012 74.4078 0.036 0.0475079 99.99
